"id"	"type_id"	"mat_id"	"name"	"group_id"	"radius"	"shag"	"gabarit"	"width"	"diam"	"kolvo_sklad"	"norma"	"zakaz"	"geometry"	"id_parent"	"property"
"413"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"51"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""51"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"414"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"52"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""52"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"415"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"52"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""52"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"416"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"53"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""53"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"360"	"51"	"30"	"C25-3D25-78WC05 LIFENG "	"101"			"хвостовик диаметром 25мм"	"3D"	"25"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""25"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"342"	"51"	"30"	"C25-3D16-51WC03 WEILA"	"101"			"хвостовик диаметром 25мм"	"3D"	"16"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""16"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"351"	"51"	"30"	"C25-3D20-63WC03 LIFENG "	"101"			"хвостовик диаметром 25мм"	"3D"	"20"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""20"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"358"	"51"	"30"	"C25-3D24-75WC04 LIFENG "	"101"			"хвостовик диаметром 25мм"	"3D"	"24"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""24"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"359"	"51"	"30"	"C25-3D24-75WC04 WEILA "	"101"			"хвостовик диаметром 25мм"	"3D"	"24"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""24"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"367"	"51"	"30"	"C32-2D28-59WC05 LIFENG"	"101"			"хвостовик диаметром 32мм"	"2D"	"28"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""28"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"371"	"51"	"30"	"C32-2D30-64WC05 LIFENG"	"101"			"хвостовик диаметром 32мм"	"2D"	"30"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""30"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"391"	"51"	"30"	"C32-2D40-84WC06 LIFENG "	"101"			"хвостовик диаметром 32мм"	"2D"	"40"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""40"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"376"	"51"	"30"	"C32-3D33-103WC06 WEILA "	"101"			"хвостовик диаметром 32мм"	"3D"	"33"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""33"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"380"	"51"	"30"	"C32-3D35-108WC06 WEILA "	"101"			"хвостовик диаметром 32мм"	"3D"	"35"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""35"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"384"	"51"	"30"	"C32-3D37-116WC06 WEILA "	"101"			"хвостовик диаметром 32мм"	"3D"	"37"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""37"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"379"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"34"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""34"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"341"	"51"	"30"	""	"71"			" стандартный"		"20"						"{""5"": "" стандартный"", ""11"": ""20"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"386"	"51"	"30"	"C32-3D38-118WC06 LIFENG "	"101"			"хвостовик диаметром 25мм"	"3D"	"38"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""38"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"388"	"51"	"30"	"C32-3D39-122WC06 WEILA "	"101"			"хвостовик диаметром 32мм"	"3D"	"39"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""39"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"390"	"51"	"30"	"C32-3D40-124WC06 LIFENG сверло"	"101"			"хвостовик диаметром 32мм"	"3D"	"40"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""40"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"410"	"51"	"30"	"C40-2D50-105WC08 WEILAI "	"101"			"хвостовик диаметром 40мм"	"2D"	"50"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 40мм"", ""11"": ""50"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"417"	"51"	"30"	"C40-2D53-111WC08 WEILAI "	"101"			"хвостовик диаметром 40мм"	"2D"	"53"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 40мм"", ""11"": ""53"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"421"	"51"	"30"	"C25-2D17.5-35WC03 USSHARP"	"101"			"хвостовик диаметром 25мм"	"2D"	"17,5"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""17,5"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"422"	"51"	"30"	"C25-2D24-51WC04 LIFENG "	"101"			"хвостовик диаметром 25мм"	"2D"	"24"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""24"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"423"	"51"	"30"	"C25-2D25-53WC05 LIFENG "	"101"			"хвостовик диаметром 25мм"	"2D"	"25"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""25"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"424"	"51"	"30"	"C25-3D17.5-55WC03 WEILA "	"101"			"хвостовик диаметром 25мм"	"3D"	"17,5"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""17,5"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"425"	"51"	"30"	"C25-3D17-54WC03 LIFENG"	"101"			"хвостовик диаметром 25мм"	"3D"	"17"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""17"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
