"id"	"type_id"	"mat_id"	"radius"	"name"	"kolvo_sklad"	"norma"	"zakaz"	"group_id"	"shag"	"gabarit"	"width"	"diam"	"geometry"	"property"	"parent_id"
"341"	"51"	"30"		""				"71"		" стандартный"		"20"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""20""}"	
"345"	"51"	"30"		"C25-3D17-54WC03 LIFENG"				"101"		"хвостовик диаметром 25мм"	"3D"	"17"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""17""}"	
"344"	"51"	"30"		"C25-2D17-34WC03 USSHARP"				"101"		"хвостовик диаметром 25мм"	"2D"	"17"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""17""}"	
"343"	"51"	"30"		"C25-2D16-32WC03 USSHARP"				"101"		"хвостовик диаметром 25мм"	"2D"	"16"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""16""}"	
"349"	"51"	"30"		"C25-3D19-60WC03 LIFENG "				"101"		"хвостовик диаметром 25мм"	"3D"	"19"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""19""}"	
"352"	"51"	"30"		""				"101"		"хвостовик диаметром 25мм"	"2D"	"21"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""21""}"	
"355"	"51"	"30"		""				"101"		"хвостовик диаметром 25мм"	"3D"	"22"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""22""}"	
"346"	"51"	"30"		"C25-2D18-36WC03 USSHARP"				"101"		"хвостовик диаметром 25мм"	"2D"	"18"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""18""}"	
"347"	"51"	"30"		"C25-3D18-56WC03 WEILA "				"101"		"хвостовик диаметром 25мм"	"3D"	"18"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""18""}"	
"348"	"51"	"30"		"C25-2D19-41WC03"				"101"		"хвостовик диаметром 25мм"	"2D"	"19"		"{""1"": ""Сверло "", ""2"": ""корпусное"", ""3"": ""универсальная"", ""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""19""}"	
